Nombre,Empresa,Organismo,Sit.General,Tipo,Frac,N.Reg,Sustancia,Superf,Uds,Secc
1291-10,"SÍLICES GILARRANZ, S.A.",SEGOVIA,Trámite/otorgamiento,C.Exp.Derivada,10,1291,"TOC, SIL",431.3096,C,C
1ª AMPLIACIÓN  MATAGALLAR,SEGURA S.L.,SEVILLA,Trámite/otorgamiento,C.Exp.Derivada,00,7681,CAL,2.0,C,C
1ª AMPLIACIÓN A ACIBRO,"EXPLOTACIONES CERÁMICAS ESPAÑOLAS, S.A. (ECESA)",LUGO,Caducado,P.Investigación,00,5803,TOC,2.0,C,C
1ª AMPLIACIÓN A MATAGALLAR,SEGURA S.L.,SEVILLA,Otorgado,P.Investigación,00,7681,CAL,2.0,C,C
1ª AMPLIACIÓN A RAMÓN,"EXPLOTACIONES CERÁMICAS ESPAÑOLAS, S.A. (ECESA)",LUGO,Otorgado,C.Exp.Derivada,00,4030,CAN,15.0,H,C
1ª AMPLIACIÓN A RIO PAS,"EXPLOTACIONES CERÁMICAS ESPAÑOLAS, S.A. (ECESA)",LUGO,Otorgado,C.Exp.Derivada,00,4739,CAN,148.0,H,C
1ª AMPLIACIÓN A SALINAS,"HERMANOS RUIZ DORANTES, S.L.",SEVILLA,Otorgado,P.Investigación,01,7502,YES,5.0,C,C
1ª AMPLIACIÓN A SALINAS,"HERMANOS RUIZ DORANTES, S.L.",SEVILLA,Trámite/otorgamiento,C.Exp.Derivada,01,7502,YES,5.0,C,C
1ª AMPLIACIÓN A SALVADORA,SOCIEDAD ANÓNIMA MINERA LA HISPALENSE,HUELVA,Otorgado,C.Exp.Directa,00,9571,CU,22.0,H,C
1ª D A AMP A ESPAÑA,"FRANCISCO , RAMOS  TORIBIO",LEON,Caducado,C.Exp.Derivada,01,9876,CBN,0.8718,H,D
1ª D A CUPA,CANTERAS PADESA SL,LEON,Otorgado,C.Exp.Derivada,01,14060,PIZ,191.1394,H,C
1ª DEMASÍA A 2ª AMPLIACIÓN A VICTORINA,CARBONES SAN ANTONIO S.L,LEON,Caducado,C.Exp.Directa,01,6050,CBN,1.742,C,D
1ª DEMASÍA A AGUINALDO,"SERV Y ACT MINERAS, S.A.",CORDOBA,Otorgado,C.Exp.Directa,00,5453,HUL,7.0,H,D
1ª DEMASIA A GONZALO,HULLERAS DE SABERO Y ANEXAS S.A,LEON,Otorgado,C.Exp.Derivada,00,7703,,2.0863,H,D
1ª DEMASIA A LA PERDIZ,"UNION MINERA DEL NORTE, S.A",LEON,Otorgado,C.Exp.Derivada,10,11391,,70.0008,C,D
1ª DEMASIA A NUEVA TERESA,MINERO SIDERURGICA PONFERRADA S.A,LEON,Otorgado,C.Exp.Directa,00,4822,CBN,12.0251,C,D
1ª DEMASÍA A PARIS,"COMPAÑÍA ANDALUZA DE MINAS, S.A.",GRANADA,Otorgado,C.Exp.Directa,00,24809,FE,17.2,H,C
1ª DEMASÍA A SAN EUGENIO,"ERCROS, S.A.",CACERES,Otorgado,C.Exp.Derivada,00,848,FOS,2.58,H,C
1ª DEMASÍA A SAN SALVADOR,"ERCROS, S.A.",CACERES,Otorgado,C.Exp.Derivada,00,5406,FOS,18.87,H,C
1ª DEMASIA A SILVAN,CANTERAS PADESA SL,LEON,Otorgado,C.Exp.Derivada,01,13709,PIZ,349.8381,H,C
1ª JOSEFINA,"MINAS DE VALDELOSO, S.L.",LEON,Otorgado,C.Exp.Derivada,00,9206,CBN,30.911,H,D
1ªDEM.A LAMELAS SEGUNDA 1ª FR B,"MANUEL , LAMELAS VILORIA",LEON,Otorgado,C.Exp.Derivada,21,13993,,56.1764,H,C
